%Ind           Name   Pos[m]
  63     TCL.4R1.B1   149.73
  64     TCL.5R1.B1   184.36
  64     TCL.6R1.B1   219.60
  57    TCTH.4L2.B1  3214.49
  72     TDI.4L2.B1  3251.60
  61   TCTVA.4L2.B1  3215.90
  67      TCLIA.4R2  3406.19
  68   TCLIB.6R2.B1  3560.09
   1     TCP.6L3.B1  6487.67
   2    TCSG.5L3.B1  6521.04
   4    TCSG.4R3.B1  6707.53
   6   TCSG.A5R3.B1  6718.92
   8   TCSG.B5R3.B1  6724.74
  46   TCLA.A5R3.B1  6755.22
  47   TCLA.B5R3.B1  6757.22
  48    TCLA.6R3.B1  6843.77
  49    TCLA.7R3.B1  6915.18
  58    TCTH.4L5.B1 13181.77
  59   TCTVA.4L5.B1 13183.45
  66     TCL.4R5.B1 13479.02
  66     TCL.5R5.B1 13513.55
  66     TCL.6R5.B1 13550.89
  69  TCDQA.A4R6.B1 16804.97
  70  TCDQA.B4R6.B1 16808.52
  70  TCDQA.C4R6.B1 16812.07
  71    TCSG.4R6.B1 16815.98
  10    TCP.D6L7.B1 19789.18
  11    TCP.C6L7.B1 19791.18
  12    TCP.B6L7.B1 19793.18
  16   TCSG.A6L7.B1 19832.68
  18   TCSG.B5L7.B1 19891.91
  20   TCSG.A5L7.B1 19895.91
  22   TCSG.D4L7.B1 19917.24
  26   TCSG.B4L7.B1 19987.16
  28   TCSG.A4L7.B1 19991.16
  30   TCSG.A4R7.B1 19995.16
  36   TCSG.B5R7.B1 20086.42
  40   TCSG.D5R7.B1 20102.42
  42   TCSG.E5R7.B1 20106.42
  44    TCSG.6R7.B1 20141.02
  50   TCLA.A6R7.B1 20148.09
  51   TCLA.B6R7.B1 20178.96
  52   TCLA.C6R7.B1 20212.51
  53   TCLA.D6R7.B1 20214.51
  54   TCLA.A7R7.B1 20231.86
  60    TCTH.4L8.B1 23197.43
  62   TCTVA.4L8.B1 23199.15
  55    TCTH.4L1.B1 26511.36
  56   TCTVA.4L1.B1 26513.04
