%Ind           Name   Pos[m]
   1     TCL.4L1.B2   149.73
   2     TCL.5L1.B2   184.26
   3     TCL.6L1.B2   219.60
   4    TCTH.4R8.B2  3225.71
   5     TDI.4R8.B2  3262.82
   6   TCTVA.4R8.B2  3227.42
   7      TCLIA.4L8  3417.40
   8   TCLIB.6L8.B2  3560.34
   9    TCP.D6R7.B2  6459.74
  10    TCP.C6R7.B2  6461.74
  11    TCP.B6R7.B2  6463.74
  15   TCSG.A6R7.B2  6503.24
  17   TCSG.B5R7.B2  6562.46
  19   TCSG.A5R7.B2  6566.46
  21   TCSG.D4R7.B2  6587.79
  25   TCSG.B4R7.B2  6653.72
  27   TCSG.A4R7.B2  6657.72
  29   TCSG.A4L7.B2  6673.72
  35   TCSG.B5L7.B2  6756.98
  39   TCSG.D5L7.B2  6772.98
  41   TCSG.E5L7.B2  6776.98
  43    TCSG.6L7.B2  6811.58
  45   TCLA.A6L7.B2  6818.65
  46   TCLA.B6L7.B2  6849.52
  47   TCLA.C6L7.B2  6883.07
  48   TCLA.D6L7.B2  6885.07
  49   TCLA.A7L7.B2  6902.42
  50  TCDQA.A4L6.B2 10140.24
  51  TCDQA.B4L6.B2 10143.80
  52  TCDQA.C4L6.B2 10147.35
  53    TCSG.4L6.B2 10151.26
  54    TCTH.4R5.B2 13181.77
  55   TCTVA.4R5.B2 13183.45
  56     TCL.4L5.B2 13479.02
  57     TCL.5L5.B2 13513.65
  58     TCL.6L5.B2 13550.89
  59     TCP.6R3.B2 19817.11
  60    TCSG.5R3.B2 19850.48
  62    TCSG.4L3.B2 20036.97
  64   TCSG.A5L3.B2 20048.36
  66   TCSG.B5L3.B2 20054.18
  68   TCLA.A5L3.B2 20084.66
  69   TCLA.B5L3.B2 20086.66
  70    TCLA.6L3.B2 20173.21
  71    TCLA.7L3.B2 20244.62
  72    TCTH.4R2.B2 23208.65
  73   TCTVA.4R2.B2 23210.07
  74    TCTH.4R1.B2 26511.36
  75   TCTVA.4R1.B2 26513.04
