%Ind           Name   Pos[m]
   2     TCL.5L1.B2   184.26
   3    TCTH.4R8.B2  3225.71
   4     TDI.4R8.B2  3262.82
   5      TCTVB.4R8  3270.17
   6      TCLIA.4L8  3419.40
   7   TCLIB.6L8.B2  3560.34
   8    TCP.D6R7.B2  6459.74
   9    TCP.C6R7.B2  6461.74
  10    TCP.B6R7.B2  6463.74
  14   TCSG.A6R7.B2  6503.24
  16   TCSG.B5R7.B2  6562.46
  18   TCSG.A5R7.B2  6566.46
  20   TCSG.D4R7.B2  6587.79
  24   TCSG.B4R7.B2  6653.72
  26   TCSG.A4R7.B2  6657.72
  28   TCSG.A4L7.B2  6673.72
  34   TCSG.B5L7.B2  6756.98
  38   TCSG.D5L7.B2  6772.98
  40   TCSG.E5L7.B2  6776.98
  42    TCSG.6L7.B2  6811.58
  44   TCLA.A6L7.B2  6818.65
  45   TCLA.B6L7.B2  6849.52
  46   TCLA.C6L7.B2  6883.07
  47   TCLA.D6L7.B2  6885.07
  48   TCLA.A7L7.B2  6902.42
  49  TCDQA.A4L6.B2 10143.80
  50  TCDQA.B4L6.B2 10147.35
  51    TCSG.4L6.B2 10151.26
  52    TCTH.4R5.B2 13181.77
  53   TCTVA.4R5.B2 13183.45
  55     TCL.5L5.B2 13513.65
  56     TCP.6R3.B2 19817.11
  57    TCSG.5R3.B2 19850.48
  59    TCSG.4L3.B2 20036.97
  61   TCSG.A5L3.B2 20048.36
  63   TCSG.B5L3.B2 20054.18
  65   TCLA.A5L3.B2 20084.66
  66   TCLA.B5L3.B2 20086.66
  67    TCLA.6L3.B2 20173.21
  68    TCLA.7L3.B2 20244.62
  69    TCTH.4R2.B2 23208.65
  70      TCTVB.4R2 23253.11
  71    TCTH.4R1.B2 26511.36
  72   TCTVA.4R1.B2 26513.04
