%Ind           Name   Pos[m]
1       TCL.4L1.B2      135.73
2       TCL.5L1.B2      184.857
3       TCL.6L1.B2      219.6
4	TCTH.4R8.B2	3225.423584
5	TCTVA.4R8.B2	3227.423584
6	TDI.4R8.B2	3262.823584
7	TCLIA.4L8	3417.404584
8	TCLIB.6L8.B2	3560.339584
9	TCP.D6R7.B2	6459.7428
10	TCP.C6R7.B2	6461.7428
11      TCP.B6R7.B2	6463.7428
12	TCSG.A6R7.B2	6503.2373
13	TCSG.B5R7.B2	6562.4648
14	TCSG.A5R7.B2	6566.4648
15	TCSG.D4R7.B2	6587.7948
16	TCSG.B4R7.B2	6653.7208
17	TCSG.A4R7.B2	6657.7208
18	TCSG.A4L7.B2	6673.7208
19	TCSG.B5L7.B2	6756.9768
20	TCSG.D5L7.B2	6772.9768
21	TCSG.E5L7.B2	6776.9768
22	TCSG.6L7.B2	6811.5818
23	TCLA.A6L7.B2	6818.6478
24	TCLA.B6L7.B2	6849.5218
25	TCLA.C6L7.B2	6882.7908
26	TCLA.D6L7.B2	6884.7908
27	TCLA.A7L7.B2	6902.4188
28	TCRYO.8L7.B2	6957.114058
29	TCRYO.10L7.B2	7036.642079
30	TCSG.4O6.MKD.B2	9794.073516
31	TCSG.4N6.MKD.B2	9795.776516
32	TCSG.4M6.MKD.B2	9797.759546
33	TCSG.4L6.MKD.B2	9799.462516
34	TCSG.4K6.MKD.B2	9801.445516
35	TCSG.4J6.MKD.B2	9803.303516
36	TCSG.4I6.MKD.B2	9805.286516
37	TCSG.4H6.MKD.B2	9806.989516
38	TCSG.4G6.MKD.B2	9808.692516
39	TCSG.4F6.MKD.B2	9810.675516
40	TCSG.4E6.MKD.B2	9812.533516
41	TCSG.4D6.MKD.B2	9814.516516
42	TCSG.4C6.MKD.B2	9816.219516
43	TCSG.4B6.MKD.B2	9818.202516
44	TCSG.4A6.MKD.B2	9819.905516
45	TCDQA.A4L6.B2	10140.24502
46	TCDQA.B4L6.B2	10143.79502
47	TCDQA.C4L6.B2	10147.34502
48	TCSG.4L6.B2	10151.25502
49	TCTH.4R5.B2	13195.76923
50	TCTVA.4R5.B2	13197.44923
51      TCL.4L5.B2      13465.09233
52      TCL.5L5.B2      13514.14623
53      TCL.6L5.B2      13550.88923
54	TCP.6R3.B2	19817.1129
55	TCSG.5R3.B2	19850.4344
56	TCSG.4L3.B2	20037.0174
57	TCSG.A5L3.B2	20048.3624
58	TCSG.B5L3.B2	20054.1824
59	TCLA.A5L3.B2	20084.6624
60	TCLA.B5L3.B2	20086.6624
61	TCLA.6L3.B2	20173.2119
62	TCLA.7L3.B2	20244.6174
63	TCTH.4R2.B2	23208.36598
64	TCTVA.4R2.B2	23210.06598
65	TCTH.4R1.B2	26525.3632
66	TCTVA.4R1.B2	26527.0432
67      TCTH.5R1.B2     26445.00
68      TCTVA.5R1.B2    26446.70
69      TCTH.5R5.B2     13115.80
70      TCTVA.5R5.B2    13117.50
